Names	dates	cities	reviews	ratings	stars
Jeff	Dined 2 days ago	Charleston	Always amazing dining experience. Food incredible. A must stop in NYC.	Overall 5 Food 5 Service 5 Ambience 5	4.7
Stacey	Dined 3 days ago	Orlando	Nobu is excellent as always! Always my favorite restaurant.	Overall 5 Food 5 Service 5 Ambience 5	4.7
CC	Dined 3 days ago	New York City	Great dinner and great, fast service. The food was excellent.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Yvonne	Dined 7 days ago	Toronto	It was all excellent except for the rude coat check girl. She said two very obnoxious things on the way out. Not acceptable.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on December 5, 2024	Orlando	Terrible terrible terrible. Tourist trap. Bad sushi. Bad quality fish. No rolling skills. Bad.	Overall 1 Food 1 Service 1 Ambience 1	5.0
Elie	Dined on December 1, 2024	New York City	Amazing as always love this place will always be back	Overall 5 Food 5 Service 5 Ambience 5	3.0
Janet	Dined on November 30, 2024	New York City	A wonderful treat! The food is consistently fabulous.	Overall 5 Food 5 Service 5 Ambience 5	1.0
Donald	Dined on November 30, 2024	Anchorage	Service staff from check in until leaving did a great job. Food was great.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Manish	Dined on November 28, 2024	New York City	Service was not so good , they have less ppl and food on 57 st location is much much better	Overall 2 Food 2 Service 2 Ambience 5	4.7
Erik	Dined on November 24, 2024	Richmond	Outstanding service and beautiful place to eat and enjoy!	Overall 5 Food 5 Service 5 Ambience 5	2.0
Kara	Dined on November 24, 2024	New York City	Excellent experience excellent food excellent service	Overall 5 Food 5 Service 5 Ambience 5	5.0
Frank	Dined on November 24, 2024	New York City	Incredible as usual. Joseph and June are the best servers in the place	Overall 5 Food 5 Service 5 Ambience 5	5.0
terri	Dined on November 23, 2024	Columbus	We went for my moms 84th birthday.  Everything was perfect and the food was amazing!	Overall 5 Food 5 Service 5 Ambience 5	5.0
Sami	Dined on November 22, 2024	Berlin	Another great night starting at the bar and finalized in the restaurant..👏	Overall 5 Food 5 Service 5 Ambience 5	5.0
Maria Antónia	Dined on November 19, 2024	Portugal	Top! Rock shrimp is a must 🤩 Staff is very nice and the environment is sophisticated!	Overall 5 Food 5 Service 4 Ambience 5	4.7
Margaret	Dined on November 18, 2024	New York City	The food and service are always excellent. Nobu never disappoints.	Overall 5 Food 5 Service 5 Ambience 5	3.0
Elliott	Dined on November 17, 2024	New York City	Always excellent but first time two items were just ok.  All in all amazing though	Overall 4 Food 5 Service 5 Ambience 5	5.0
James	Dined on November 8, 2024	Greater Boston	Our waiter was awesome.  Food was great. Restaurant super comfortable.	Overall 5 Food 5 Service 5 Ambience 5	4.0
Jason	Dined on November 7, 2024	New York City	Had a wonderful client lunch.  The meal was delicious and the service exemplary as always.	Overall 5 Food 5 Service 5 Ambience 5	5.0
John	Dined on November 3, 2024	New York City	Great restaurant and service. A bit pricey but food was fabulous and service is top notch. Definitely worth the visit.	Overall 5 Food 5 Service 5 Ambience 4	2.0
Lami	Dined on November 2, 2024	New York City	Late night dinner with my partner. Food and service were great. Overall price was pretty high though	Overall 5 Food 5 Service 5 Ambience 4	5.0
Troy	Dined on November 2, 2024	Columbus	Excellent as always. Waiter made some great recommendations.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Shweta	Dined on November 2, 2024	New York City	Food was just not up to the mark. Ambience not so great. Wasn’t happy with this Nobu overall	Overall 2 Food 2 Service 5 Ambience 2	5.0
kirsty	Dined on October 31, 2024	New York City	We had a great meal, with nice ambience. I definitely recommend the miso black cod it is so delicious. Sushi rolls were tasty too.	Overall 5 Food 5 Service 5 Ambience 5	2.0
Kate	Dined on October 30, 2024	New York City	For the whole experience, sit a the Sushi Counter.	Overall 5 Food 5 Service 5 Ambience 5	4.7
Rachmaninoff	Dined on October 30, 2024	Central Texas	Always great service and food Our server gave great recommendations	Overall 5 Food 5 Service 5 Ambience 4	5.0
Gerhard	Dined on October 24, 2024	Munich	A little noisy @ bar table, still a great experience!	Overall 5 Food 5 Service 5 Ambience 4	5.0
Sara	Dined on October 21, 2024	San Francisco	Amazing !!!!! From the host to waitress and food was amazing !	Overall 5 Food 5 Service 5 Ambience 5	3.0
Todd	Dined on October 20, 2024	Denver	Amazing dining experience. Food is served randomly for all to share.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Nicole	Dined on October 20, 2024	Orlando	Not worth the cost. Service and food were just mediocre.	Overall 2 Food 3 Service 2 Ambience 3	5.0
Robert	Dined on October 20, 2024	New York City	Always great. Not just the food but the service is excellent	Overall 5 Food 5 Service 5 Ambience 5	5.0
Melissa	Dined on October 19, 2024	New York City	We had an amazing dining experience. Our waiter, Joseph, crafted a menu for us based on our preferences and WOW - fabulous!	Overall 5 Food 5 Service 5 Ambience 5	4.7
Kenneth	Dined on October 14, 2024	New York City	As always, great food and service here. Always packed with folks who appreciate this wonderful food with a solid selection of libations.	Overall 5 Food 5 Service 5 Ambience 3	4.0
Sean	Dined on October 13, 2024	E. Tennessee	The sushi stink, tasteless and the rice was all mushy.	Overall 1 Food 1 Service 4 Ambience 4	5.0
Justin	Dined on October 13, 2024	New York City	Found a hair in my dessert. The service was great but food was okay and left hungry still.	Overall 2 Food 2 Service 4 Ambience 3	1.0
Christopher	Dined on October 13, 2024	Washington DC	fits the bill on perfect sushi.  Want more. Will go moar	Overall 5 Food 5 Service 5 Ambience 5	5.0
Laura	Dined on October 11, 2024	Orlando	Loved our experience and always love the food. Beautiful presentation and service beyond compare.	Overall 5 Food 5 Service 5 Ambience 5	4.7
Tommy	Dined on October 7, 2024	New York City	Nobu is the best around. The food and service are always great. Sushi is always fresh. We try to go at least once a month.	Overall 5 Food 5 Service 5 Ambience 5	1.0
Manuel	Dined on October 5, 2024	New York City	Very great ambiance me and my girlfriend enjoyed and the desert is a must	Overall 5 Food 5 Service 5 Ambience 5	3.0
Jake	Dined on September 30, 2024	Orange County	Loved it the service was gret all the staff were helpful and the food was unbelievable	Overall 5 Food 5 Service 5 Ambience 5	4.7
Dora	Dined on September 30, 2024	New York City	Incredibly fresh and good food. Nice service. We will return again.	Overall 5 Food 5 Service 5 Ambience 5	5.0
